gene,spearman_rho,p_value,q_value
Slc37a4,-0.19411946249226827,2.6759085667146047e-39,3.725543124221671e-38
Hpx,-0.1939089957390348,3.239465593173958e-39,4.478617816576864e-38
Xiap,-0.1936858281825787,3.966243818391137e-39,5.445322242332832e-38
Stx16,-0.19325183599766327,5.8751713733963184e-39,8.010492279451394e-38
Aqp9,-0.1928126269164569,8.73569588522973e-39,1.1829089565136423e-37
Abca1,-0.19264710241618666,1.0141800600589646e-38,1.3639686930180768e-37
Krr1,-0.19215509542330406,1.5791721161552418e-38,2.1094751848911575e-37
Cyp4v3,-0.1918195423259192,2.1344657771376728e-38,2.832106604967234e-37
Cth,0.1914269119740316,3.034582299506655e-38,3.999579470749771e-37
Rplp0,0.19107764617442055,4.1471653532018985e-38,5.429765498861028e-37
Ugt3a2,-0.19098871611216087,4.4900282751523347e-38,5.83999072366853e-37
Ugt2b1,-0.19076160613733822,5.498851495137918e-38,7.105378696658604e-37
Cfh,-0.19074364790055312,5.587627713172885e-38,7.173207785027788e-37
Herpud1,-0.1905869284753852,6.425360356992673e-38,8.195443500499686e-37
Lrp1,-0.18946850263389575,1.7351186863624521e-37,2.1989292582939538e-36
Magt1,-0.18934627301503926,1.9333727344253957e-37,2.4345719082541448e-36
Cldn3,-0.1882608568981804,5.036733747149156e-37,6.302292796274609e-36
Serpind1,-0.18776164523141703,7.808183250448492e-37,9.7086655887652e-36
Ccdc78,-0.18764340333634258,8.661024978277272e-37,1.0701778988783855e-35
Ppap2b,-0.18719112352280942,1.2867444022380675e-36,1.5800581883382977e-35
Rbm47,-0.18563026732419993,5.005371885640582e-36,6.108407541920636e-35
Ptprd,-0.18556300634169465,5.3056774636140074e-36,6.43516831016251e-35
Syvn1,-0.18531320671444407,6.586184267388838e-36,7.939564815016911e-35
Raph1,-0.18476153056840153,1.0605227737383091e-35,1.2706991052609922e-34
Elovl5,-0.18464471344479544,1.172854913543753e-35,1.396827809684337e-34
Ppm1k,-0.1844765459018275,1.355618603514766e-35,1.604825137214786e-34
Cyp27a1,-0.18436675683212356,1.4899270072094023e-35,1.7533248174124928e-34
Hes1,-0.18375074235858743,2.52863802918462e-35,2.958057623489937e-34
Por,-0.18298640961658277,4.861709171193391e-35,5.65388178320549e-34
Adipor2,-0.18278447166795647,5.775474046614106e-35,6.6772585907345545e-34
Slc22a1,-0.18240689823182962,7.965415072270268e-35,9.155596277836233e-34
Grn,-0.18224974683561232,9.103967664618792e-35,1.040378270112795e-33
Cyr61,-0.181688455498188,1.465668169333881e-34,1.6653022820534957e-33
Pnn,-0.18155654012412265,1.638858712714515e-34,1.851442100020912e-33
Cyp2c29,-0.18138921319369514,1.8880560436594217e-34,2.1208447717697026e-33
1300017J02Rik,-0.18061511734610694,3.627671494155104e-34,4.0519246010986673e-33
Cyp4a10,-0.1800551315780789,5.807622413949605e-34,6.450376130549645e-33
Cyp2c37,-0.17981465664510587,7.104867921549288e-34,7.8471083133536e-33
Serping1,-0.1796628617758599,8.067918550190818e-34,8.861263874292915e-33
Eif4g1,-0.1793026007054135,1.0904014958326358e-33,1.1910076006967521e-32
Tgoln1,-0.1792601595685541,1.1297445985991887e-33,1.2272005886981298e-32
Serpinc1,-0.17834374434012149,2.4234710569536265e-33,2.618143322184328e-32
Ugt2b35,-0.1774199224649834,5.209133102383021e-33,5.596987034462626e-32
Hsd17b11,-0.17739047141975783,5.337403871868498e-33,5.703809434964336e-32
Gm10319,-0.1770291189836598,7.191235586927547e-33,7.64358750287944e-32
Tecpr2,-0.1768715537596015,8.187902176991402e-33,8.65640780957861e-32
Cyp2c38,-0.17640346851912053,1.2031495387905569e-32,1.265226935206878e-31
Ces1f,-0.1762336791553138,1.3830380301039733e-32,1.4467016854579658e-31
Sema4g,-0.1759762958524168,1.707855947569994e-32,1.7770690570241464e-31
Arrdc3,-0.1758053650958715,1.9643431883546708e-32,2.0332494677367457e-31
Chka,-0.17560444990462748,2.315067962311993e-32,2.3837965424431303e-31
Lpin2,-0.17552420482097292,2.471925627265173e-32,2.532122779846242e-31
Gm6484,-0.17508220959614942,3.544984862762454e-32,3.612595398804831e-31
Dhcr24,-0.1749456280606721,3.9620074746805097e-32,4.016866039714547e-31
Cldn2,-0.17487128941651486,4.2090870253352717e-32,4.2455944127999145e-31
